epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,327.557,1.13782,1.14408,0.01521,0.83973,0.75089,0.80298,0.55262,1.41,1.83897,0.02048,0.00187148,0.00187148,0.00187148
43,334.401,1.14656,1.17573,0.01551,0.78447,0.75389,0.79667,0.50847,1.50389,1.9445,0.02429,0.00186528,0.00186528,0.00186528
44,341.121,1.18156,1.19513,0.01606,0.83189,0.73766,0.78063,0.44738,1.60419,1.96143,0.02822,0.00185895,0.00185895,0.00185895
45,349.501,1.12977,1.19029,0.0157,0.81643,0.73787,0.79029,0.52489,1.44836,1.97176,0.02225,0.00185248,0.00185248,0.00185248
46,357.779,1.14332,1.18448,0.01522,0.84029,0.72604,0.79116,0.48241,1.53247,1.88236,0.02637,0.00184588,0.00184588,0.00184588
47,364.524,1.10884,1.17702,0.01504,0.74873,0.7475,0.74997,0.4366,1.62517,2.10781,0.02895,0.00183915,0.00183915,0.00183915
48,371.243,1.15582,1.23716,0.01554,0.85643,0.72386,0.80547,0.54308,1.43755,1.85183,0.02173,0.00183229,0.00183229,0.00183229
49,378.056,1.10269,1.0776,0.01513,0.8439,0.75207,0.80074,0.55349,1.41519,1.83805,0.02148,0.0018253,0.0018253,0.0018253
50,385.017,1.12171,1.06357,0.01514,0.85061,0.73106,0.78577,0.54919,1.46982,1.99597,0.02205,0.00181818,0.00181818,0.00181818
51,394.783,1.13803,1.16339,0.01519,0.85559,0.74627,0.79781,0.53241,1.46832,1.74948,0.02307,0.00181093,0.00181093,0.00181093
52,401.948,1.1325,1.1187,0.01515,0.83907,0.68675,0.76228,0.46762,1.57211,2.12377,0.02665,0.00180355,0.00180355,0.00180355
53,408.687,1.12976,1.09127,0.01474,0.82007,0.68041,0.74052,0.38662,1.72462,1.96826,0.03396,0.00179605,0.00179605,0.00179605
54,415.479,1.10899,1.09568,0.01476,0.74331,0.75241,0.77966,0.53511,1.43648,2.17925,0.02169,0.00178843,0.00178843,0.00178843
55,422.308,1.07494,1.02947,0.01437,0.8763,0.73173,0.78967,0.50727,1.50766,2.13438,0.02453,0.00178068,0.00178068,0.00178068
56,429.171,1.10879,1.12213,0.0149,0.81291,0.72952,0.7767,0.52891,1.47298,2.35358,0.02305,0.00177281,0.00177281,0.00177281
57,437.36,1.08809,1.081,0.01455,0.82261,0.70584,0.7578,0.44001,1.61189,1.95244,0.02872,0.00176482,0.00176482,0.00176482
58,444.151,1.05234,0.97731,0.0139,0.86228,0.7871,0.81906,0.55138,1.47224,1.75865,0.02224,0.00175671,0.00175671,0.00175671
59,450.934,1.08899,1.03668,0.01477,0.82935,0.76875,0.80915,0.49777,1.56482,1.80661,0.02723,0.00174848,0.00174848,0.00174848
60,457.762,1.11115,1.05553,0.01462,0.83422,0.77481,0.81045,0.57601,1.31513,1.61769,0.01911,0.00174014,0.00174014,0.00174014
61,464.714,1.09055,1.06294,0.01426,0.8957,0.68893,0.80324,0.51407,1.47095,1.87902,0.02482,0.00173168,0.00173168,0.00173168
62,471.866,1.11153,1.11561,0.01539,0.8175,0.7694,0.80978,0.55742,1.3755,1.65224,0.02097,0.00172311,0.00172311,0.00172311
63,478.674,1.06927,1.02655,0.01418,0.82277,0.74733,0.79716,0.54371,1.41001,1.83968,0.02145,0.00171442,0.00171442,0.00171442
64,485.438,1.08031,1.0466,0.01368,0.83789,0.75541,0.80386,0.55142,1.40673,1.71739,0.02091,0.00170562,0.00170562,0.00170562
65,492.253,1.07692,1.02617,0.01408,0.78298,0.74061,0.75707,0.44499,1.5583,1.96029,0.02747,0.00169672,0.00169672,0.00169672
66,499.065,1.07458,1.04394,0.01364,0.86332,0.77641,0.81505,0.53987,1.4409,1.78668,0.02242,0.0016877,0.0016877,0.0016877
67,505.871,1.06677,1.03982,0.01406,0.87515,0.77362,0.82586,0.55619,1.43481,1.74307,0.0219,0.00167858,0.00167858,0.00167858
68,512.657,1.03028,0.98048,0.01365,0.82591,0.7507,0.81155,0.53516,1.47132,1.79962,0.02281,0.00166935,0.00166935,0.00166935
69,519.44,1.04068,0.97938,0.01346,0.84483,0.75636,0.81893,0.56327,1.4411,1.82006,0.02156,0.00166002,0.00166002,0.00166002
70,526.231,1.0257,0.96678,0.01334,0.85551,0.75822,0.81376,0.5651,1.38499,1.9536,0.02097,0.00165059,0.00165059,0.00165059
71,534.372,1.02945,1.01027,0.01368,0.86871,0.72673,0.80826,0.56784,1.35131,1.76366,0.01983,0.00164105,0.00164105,0.00164105
72,542.88,1.06293,1.04627,0.01398,0.83077,0.74332,0.80227,0.53769,1.48854,1.89295,0.02328,0.00163141,0.00163141,0.00163141
73,550.91,1.05068,0.97923,0.01366,0.89116,0.76056,0.81557,0.55956,1.45083,1.81797,0.02202,0.00162168,0.00162168,0.00162168
74,557.669,1.01928,0.93978,0.01302,0.85522,0.74037,0.80239,0.54148,1.43941,1.80409,0.0225,0.00161185,0.00161185,0.00161185
75,564.411,1.03092,1.00704,0.01377,0.90642,0.7156,0.81579,0.55675,1.40721,1.72541,0.02181,0.00160193,0.00160193,0.00160193
76,571.229,1.03812,0.98207,0.0137,0.85438,0.74204,0.80411,0.54033,1.49173,1.83404,0.02329,0.00159191,0.00159191,0.00159191
77,578.007,1.0473,0.95691,0.01315,0.84836,0.79307,0.83454,0.56437,1.43469,1.65448,0.02212,0.0015818,0.0015818,0.0015818
78,584.794,1.03263,0.99988,0.01394,0.81788,0.80679,0.8242,0.5974,1.35625,1.53811,0.01965,0.0015716,0.0015716,0.0015716
79,591.829,1.00822,0.95844,0.01266,0.82563,0.78111,0.81532,0.5563,1.42213,1.63148,0.02261,0.00156131,0.00156131,0.00156131
