model,split,precision,recall,mAP50,mAP50-95
yolo26s_standard,val,0.8323168887361359,0.7655774679898899,0.768949399439819,0.5728375253920175
yolo26s_standard,test,0.780732622193732,0.7721088435374149,0.7556116015030019,0.5362754299271613
yolo26s_p2,val,0.7716490660434161,0.7732128315724054,0.75786859620505,0.5467714800128072
yolo26s_p2,test,0.7674539339317393,0.7261904761904762,0.7280172112944437,0.4836355335492809
